"","X1","STATE.ABBREVIATION","STATE","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","GE.RUNOFF.ELECTION.VOTES..LA.","GE.RUNOFF.ELECTION....LA.","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","GE.WINNER.INDICATOR","FOOTNOTES","X","year"
"306",307,"CA","California","09","H2CA11135","","Ricky ","Gill","Gill, Ricky ","","R","38,488","40.24%","","","94,704","44.45%","","","","","","",NA,"2012"
"307",308,"CA","California","09","H2CA09105","","John ","McDonald","McDonald, John ","","R","11,458","11.98%","","","","","","","","","","",NA,"2012"
"310",311,"CA","California","10","H0CA19173","(I)","Jeff","Denham","Denham, Jeff","","R","45,779","49.24%","","","110,265","52.71%","","","","","W","",NA,"2012"
"311",312,"CA","California","10","H2CA10145","","Jose","Hernandez","Hernandez, Jose","","D","26,072","28.04%","","","98,934","47.29%","","","","","","",NA,"2012"
"312",313,"CA","California","10","H2CA10152","","Chad M.","Condit","Condit, Chad M.","","NOP","13,983","15.04%","","","","","","","","","","",NA,"2012"
"313",314,"CA","California","10","H2CA00096","","Michael J. ""Mike""","Barkley","Barkley, Michael J. ""Mike""","","D","5,028","5.41%","","","","","","","","","","",NA,"2012"
"314",315,"CA","California","10","H2CA10160 ","","Troy Wayne","McComak","McComak, Troy Wayne","","NOP","2,114","2.27%","","","","","","","","","","",NA,"2012"
"317",318,"CA","California","11","H6CA07043","(I)","George ","Miller","Miller, George ","","D","76,163","58.49%","","","200,743","69.73%","","","","","W","",NA,"2012"
"318",319,"CA","California","11","H8CA07031","","Virginia","Fuller","Fuller, Virginia","","R","40,333","30.97%","","","87,136","30.27%","","","","","","",NA,"2012"
"319",320,"CA","California","11","H0CA07111","","John ","Fitzgerald","Fitzgerald, John ","","D","9,092","6.98%","","","","","","","","","","",NA,"2012"
"320",321,"CA","California","11","H2CA11168","","Cheryl ","Sudduth","Sudduth, Cheryl ","","D","4,635","3.56%","","","","","","","","","","",NA,"2012"
"323",324,"CA","California","12","H8CA05035","(I)","Nancy ","Pelosi","Pelosi, Nancy ","","D","89,446","74.88%","","","253,709","85.08%","","","","","W","",NA,"2012"
"324",325,"CA","California","12","H0CA08069","","John ","Dennis","Dennis, John ","","R","16,206","13.57%","","","44,478","14.92%","","","","","","",NA,"2012"
"325",326,"CA","California","12","H4CA12089","","Barry","Hermanson","Hermanson, Barry","","GRE","6,398","5.36%","","","","","","","","","","",NA,"2012"
"326",327,"CA","California","12","H0CA10172","","David ","Peterson","Peterson, David ","","D","3,756","3.14%","","","","","","","","","","",NA,"2012"
"327",328,"CA","California","12","H0CA08077","","Summer Justice","Shields","Shields, Summer Justice","","D","2,146","1.80%","","","","","","","","","","",NA,"2012"
"328",329,"CA","California","12","H2CA11176","","Américo Arturo","Diaz","Diaz, Américo Arturo","","D","1,499","1.25%","","","","","","","","","","",NA,"2012"
"331",332,"CA","California","13","H8CA09060","(I)","Barbara ","Lee","Lee, Barbara ","","D","94,709","83.11%","","","250,436","86.78%","","","","","W","",NA,"2012"
"332",333,"CA","California","13","H2CA13099","","Marilyn M.","Singleton","Singleton, Marilyn M.","","NOP","13,502","11.85%","","","38,146","13.22%","","","","","","",NA,"2012"
"333",334,"CA","California","13","H0CA13093","","Justin","Jelincic","Jelincic, Justin","","D","5,741","5.04%","","","","","","","","","","",NA,"2012"
"336",337,"CA","California","14","H8CA12171","(I)","Jackie ","Speier","Speier, Jackie ","","D","80,850","74.34%","","","203,828","78.92%","","","","","W","",NA,"2012"
"337",338,"CA","California","14","H2CA14139","","Deborah (Debbie)","Bacigalupi","Bacigalupi, Deborah (Debbie)","","R","23,299","21.42%","","","54,455","21.08%","","","","","","",NA,"2012"
"338",339,"CA","California","14","H8CA12148","","Michael J.","Moloney","Moloney, Michael J.","","D","4,607","4.24%","","","","","","","","","","",NA,"2012"
"341",342,"CA","California","15","H2CA15094","","Eric","Swalwell","Swalwell, Eric","","D","34,347","36.19%","","","120,388","52.11%","","","","","W","",NA,"2012"
"342",343,"CA","California","15","H6CA09023","(I)","Fortney Pete ","Stark","Stark, Fortney Pete ","","D","39,943","42.09%","","","110,646","47.89%","","","","","","",NA,"2012"
"343",344,"CA","California","15","H0CA13119","","Christopher ""Chris"" J.","Pareja","Pareja, Christopher ""Chris"" J.","","NOP","20,618","21.72%","","","","","","","","","","",NA,"2012"
"346",347,"CA","California","16","H4CA20082","(I)","Jim","Costa","Costa, Jim","","D","25,355","42.67%","","","84,649","57.41%","","","","","W","",NA,"2012"
"347",348,"CA","California","16","H2CA16092","","Brian Daniel ","Whelan","Whelan, Brian Daniel ","","R","15,053","25.33%","","","62,801","42.59%","","","","","","",NA,"2012"
"348",349,"CA","California","16","H2CA16100","","Johnny M. ","Tacherra","Tacherra, Johnny M. ","","R","6,776","11.40%","","","","","","","","","","",NA,"2012"
"349",350,"CA","California","16","H2CA16118","","Mark ","Garcia","Garcia, Mark ","","R","6,529","10.99%","","","","","","","","","","",NA,"2012"
"350",351,"CA","California","16","H0CA19132","","Loraine ","Goodwin","Goodwin, Loraine ","","D","5,703","9.60%","","","","","","","","","","",NA,"2012"
"353",354,"CA","California","17","H0CA15148","(I)","Mike ","Honda","Honda, Mike ","","D","60,252","66.70%","","","159,392","73.54%","","","","","W","",NA,"2012"
"354",355,"CA","California","17","H2CA17090","","Evelyn ","Li","Li, Evelyn ","","R","24,916","27.58%","","","57,336","26.46%","","","","","","",NA,"2012"
"355",356,"CA","California","17","H2CA17108","","Charles ","Richardson","Richardson, Charles ","","NOP","5,163","5.72%","","","","","","","","","","",NA,"2012"
"358",359,"CA","California","18","H8CA12098","(I)","Anna G.","Eshoo","Eshoo, Anna G.","","D","86,851","61.46%","","","212,831","70.49%","","","","","W","",NA,"2012"
"359",360,"CA","California","18","H0CA14075","","Dave ","Chapman","Chapman, Dave ","","R","42,174","29.85%","","","89,103","29.51%","","","","","","",NA,"2012"
"360",361,"CA","California","18","H2CA18122","","William ","Parks","Parks, William ","","D","6,504","4.60%","","","","","","","","","","",NA,"2012"
"361",362,"CA","California","18","H6CA14098","","Carol ","Brouillet","Brouillet, Carol ","","GRE","5,777","4.09%","","","","","","","","","","",NA,"2012"
"364",365,"CA","California","19","H4CA16049","(I)","Zoe ","Lofgren","Lofgren, Zoe ","","D","60,726","65.18%","","","162,300","73.24%","","","","","W","",NA,"2012"
"365",366,"CA","California","19","H2CA19112","","Robert ","Murray","Murray, Robert ","","R","21,421","22.99%","","","59,313","26.76%","","","","","","",NA,"2012"
"366",367,"CA","California","19","H2CA19120","","Phat ","Nguyen","Nguyen, Phat ","","R","7,192","7.72%","","","","","","","","","","",NA,"2012"
"367",368,"CA","California","19","H2CA19138 ","","Jay Blas Jacob","Cabrera","Cabrera, Jay Blas Jacob","","NOP","3,829","4.11%","","","","","","","","","","",NA,"2012"
"370",371,"CA","California","20","H4CA17021","(I)","Sam","Farr","Farr, Sam","","D","68,895","64.37%","","","172,996","74.07%","","","","","W","",NA,"2012"
"371",372,"CA","California","20","H8CA17089","","Jeff","Taylor","Taylor, Jeff","","R","23,905","22.34%","","","60,566","25.93%","","","","","","",NA,"2012"
"372",373,"CA","California","20","H2CA20110","","Mike","LeBarre","LeBarre, Mike","","R","5,487","5.13%","","","","","","","","","","",NA,"2012"
"373",374,"CA","California","20","H6CA16069","","Art ","Dunn","Dunn, Art ","","D","4,095","3.83%","","","","","","","","","","",NA,"2012"
"374",375,"CA","California","20","H0CA17151","","Eric","Petersen","Petersen, Eric","","GRE","2,211","2.07%","","","","","","","","","","",NA,"2012"
"375",376,"CA","California","20","H0CA17185","","Ronald Paul","Kabat","Kabat, Ronald Paul","","NOP","1,733","1.62%","","","","","","","","","","",NA,"2012"
"376",377,"CA","California","20","H2CA20128","","Dan ","Caudle","Caudle, Dan ","","NOP","703","0.66%","","","","","","","","","","",NA,"2012"
"379",380,"CA","California","21","H2CA20094","","David G.","Valadao","Valadao, David G.","","R","27,251","56.99%","","","67,164","57.76%","","","","","W","",NA,"2012"
"380",381,"CA","California","21","H0CA19082","","John ","Hernandez","Hernandez, John ","","D","10,575","22.12%","","","49,119","42.24%","","","","","","",NA,"2012"
"381",382,"CA","California","21","H2CA21167","","Blong ","Xiong","Xiong, Blong ","","D","9,990","20.89%","","","","","","","","","","",NA,"2012"
"384",385,"CA","California","22","H8CA20059","(I)","Devin G.","Nunes","Nunes, Devin G.","","R","67,386","70.58%","","","132,386","61.88%","","","","","W","",NA,"2012"
"385",386,"CA","California","22","H2CA22140","","Otto","Lee","Lee, Otto","","D","28,091","29.42%","","","81,555","38.12%","","","","","","",NA,"2012"
"388",389,"CA","California","23","H6CA22125","(I)","Kevin ","McCarthy","McCarthy, Kevin ","","R","71,109","72.16%","","","158,161","73.22%","","","","","W","",NA,"2012"
"389",390,"CA","California","23","H2CA23122","","Terry ","Phillips","Phillips, Terry ","","NOP","17,018","17.27%","","","57,842","26.78%","","","","","","",NA,"2012"
"390",391,"CA","California","23","H2CA23130","","Eric ","Parker","Parker, Eric ","","R","10,414","10.57%","","","","","","","","","","",NA,"2012"
"393",394,"CA","California","24","H8CA22089","(I)","Lois","Capps","Capps, Lois","","D","72,356","46.36%","","","156,749","55.10%","","","","","W","",NA,"2012"
"394",395,"CA","California","24","H2CA23106","","Abel","Maldonado","Maldonado, Abel","","R","46,295","29.66%","","","127,746","44.90%","","","","","","",NA,"2012"
"395",396,"CA","California","24","H2CA23114","","Chris ","Mitchum","Mitchum, Chris ","","R","33,604","21.53%","","","","","","","","","","",NA,"2012"
"396",397,"CA","California","24","H2CA24161","","Matt","Boutté","Boutté, Matt","","NOP","3,832","2.46%","","","","","","","","","","",NA,"2012"
"399",400,"CA","California","25","H2CA25036","(I)","Howard P. ""Buck""","McKeon","McKeon, Howard P. ""Buck""","","R","39,997","50.54%","","","129,593","54.78%","","","","","W","",NA,"2012"
"400",401,"CA","California","25","H2CA25143","","Lee C.","Rogers","Rogers, Lee C.","","D","23,542","29.75%","","","106,982","45.22%","","","","","","",NA,"2012"
"401",402,"CA","California","25","H2CA25176","","Dante ","Acosta","Acosta, Dante ","","R","10,387","13.12%","","","","","","","","","","",NA,"2012"
"402",403,"CA","California","25","H2CA25168","","Cathie","Wright","Wright, Cathie","","R","5,215","6.59%","","","","","","","","","","",NA,"2012"
"405",406,"CA","California","26","H2CA00120","","Julia ","Brownley","Brownley, Julia ","","D","29,892","26.89%","","","139,072","52.69%","","","","","W","",NA,"2012"
"406",407,"CA","California","26","H2CA26109","","Tony ","Strickland","Strickland, Tony ","","R","49,043","44.12%","","","124,863","47.31%","","","","","","",NA,"2012"
"407",408,"CA","California","26","H2CA26091","","Linda ","Parks","Parks, Linda ","","NOP","20,301","18.26%","","","","","","","","","","",NA,"2012"
"408",409,"CA","California","26","H2CA26117","","Jess","Herrera","Herrera, Jess","","D","7,244","6.52%","","","","","","","","","","",NA,"2012"
"409",410,"CA","California","26","H2CA24153","","David Cruz","Thayne","Thayne, David Cruz","","D","2,809","2.53%","","","","","","","","","","",NA,"2012"
"410",411,"CA","California","26","H0CA23068","","Albert Maxwell","Goldberg","Goldberg, Albert Maxwell","","D","1,880","1.69%","","","","","","","","","","",NA,"2012"
"413",414,"CA","California","27","H0CA32101","(I)","Judy ","Chu","Chu, Judy ","","D","50,203","57.78%","","","154,191","63.98%","","","","","W","",NA,"2012"
"414",415,"CA","California","27","H2CA27198","","Jack ","Orswell","Orswell, Jack ","","R","20,868","24.02%","","","86,817","36.02%","","","","","","",NA,"2012"
"415",416,"CA","California","27","H2CA27206","","Bob","Duran","Duran, Bob","","R","15,819","18.21%","","","","","","","","","","",NA,"2012"
"418",419,"CA","California","28","H0CA27085","(I)","Adam","Schiff","Schiff, Adam","","D","42,797","59.00%","","","188,703","76.49%","","","","","W","",NA,"2012"
"419",420,"CA","California","28","H0CA33133","","Phil ","Jennerjahn","Jennerjahn, Phil ","","R","12,633","17.41%","","","58,008","23.51%","","","","","","",NA,"2012"
"420",421,"CA","California","28","H0CA28109","","Jenny ","Worman","Worman, Jenny ","","R","5,978","8.24%","","","","","","","","","","",NA,"2012"
"421",422,"CA","California","28","H2CA28147","","Garen","Mailyan","Mailyan, Garen","","R","3,749","5.17%","","","","","","","","","","",NA,"2012"
"422",423,"CA","California","28","H6CA31126","","Sal","Genovese","Genovese, Sal","","D","2,829","3.90%","","","","","","","","","","",NA,"2012"
"423",424,"CA","California","28","H2CA28139","","Massie","Munroe","Munroe, Massie","","D","2,437","3.36%","","","","","","","","","","",NA,"2012"
"424",425,"CA","California","28","H2CA28121","","Jonathan Ryan ","Kalbfeld","Kalbfeld, Jonathan Ryan ","","D","2,119","2.92%","","","","","","","","","","",NA,"2012"
"427",428,"CA","California","29","H2CA28113","","Tony ","Cárdenas","Cárdenas, Tony ","","D","24,882","64.39%","","","111,287","74.05%","","","","","W","",NA,"2012"
"428",429,"CA","California","29","H2CA28097","","David R. ","Hernandez","Hernandez, David R. ","","NOP","8,382","21.69%","","","38,994","25.95%","","","","","","",NA,"2012"
"429",430,"CA","California","29","H0CA28117","","Richard A.","Valdez","Valdez, Richard A.","","D","5,379","13.92%","","","","","","","","","","",NA,"2012"
"432",433,"CA","California","30","H6CA24113","(I)","Brad","Sherman","Sherman, Brad","","D","40,589","42.35%","","","149,456","60.30%","","","","","W","",NA,"2012"
"433",434,"CA","California","30","H2CA26026","(I)","Howard L.","Berman","Berman, Howard L.","","D","31,086","32.44%","","","98,395","39.70%","","","","","","",NA,"2012"
"434",435,"CA","California","30","H0CA27101","","Mark ","Reed","Reed, Mark ","","R","11,991","12.51%","","","","","","","","","","",NA,"2012"
"435",436,"CA","California","30","H8CA27088","","Navraj","Singh","Singh, Navraj","","R","5,521","5.76%","","","","","","","","","","",NA,"2012"
"436",437,"CA","California","30","H2CA30242","","Susan ","Shelly","Shelly, Susan ","","R","3,878","4.05%","","","","","","","","","","",NA,"2012"
"437",438,"CA","California","30","H2CA30259","","Michael W.","Powelson","Powelson, Michael W.","","GRE","1,976","2.06%","","","","","","","","","","",NA,"2012"
"438",439,"CA","California","30","H2CA30267","","Vince ","Gilmore","Gilmore, Vince ","","D","792","0.83%","","","","","","","","","","",NA,"2012"
"441",442,"CA","California","31","H8CA41063","(I)","Gary G. ","Miller","Miller, Gary G. ","","R","16,708","26.66%","","","88,964","55.18%","","","","","W","",NA,"2012"
"442",443,"CA","California","31","H2CA31133","","Bob","Dutton","Dutton, Bob","","R","15,557","24.82%","","","72,255","44.82%","","","","","","",NA,"2012"
"443",444,"CA","California","31","H2CA31125","","Pete","Aguilar","Aguilar, Pete","","D","14,181","22.63%","","","","","","","","","","",NA,"2012"
"444",445,"CA","California","31","H2CA31117","","Justin ","Kim","Kim, Justin ","","D","8,487","13.54%","","","","","","","","","","",NA,"2012"
"445",446,"CA","California","31","H2CA31109","","Renea","Wickman","Wickman, Renea","","D","4,188","6.68%","","","","","","","","","","",NA,"2012"
"446",447,"CA","California","31","H8CA41139","","Rita","Ramirez-Dean","Ramirez-Dean, Rita","","D","3,546","5.66%","","","","","","","","","","",NA,"2012"
"449",450,"CA","California","32","H8CA34068","(I)","Grace F.","Napolitano","Napolitano, Grace F.","","D","24,094","46.10%","","","124,903","65.70%","","","","","W","",NA,"2012"
"450",451,"CA","California","32","H0CA26087","","David L.","Miller","Miller, David L.","","R","21,843","41.80%","","","65,208","34.30%","","","","","","",NA,"2012"
"451",452,"CA","California","32","H2CA32214","","G. Bill ","Gonzalez","Gonzalez, G. Bill ","","D","6,322","12.10%","","","","","","","","","","",NA,"2012"
"454",455,"CA","California","33","H6CA24048","(I)","Henry A. ","Waxman","Waxman, Henry A. ","","D","51,235","45.32%","","","171,860","53.96%","","","","","W","",NA,"2012"
"455",456,"CA","California","33","H2CA33147","","Bill","Bloomfield","Bloomfield, Bill","","NOP","27,850","24.63%","","","146,660","46.04%","","","","","","",NA,"2012"
"456",457,"CA","California","33","H2CA30234","","Christopher ","David","David, Christopher ","","R","17,264","15.27%","","","","","","","","","","",NA,"2012"
"457",458,"CA","California","33","H2CA33154","","Bruce ","Margolin","Margolin, Bruce ","","D","5,020","4.44%","","","","","","","","","","",NA,"2012"
"458",459,"CA","California","33","H2CA36330","","Steve ","Collett","Collett, Steve ","","LIB","4,916","4.35%","","","","","","","","","","",NA,"2012"
"459",460,"CA","California","33","H2CA33139","","David William ","Steinman","Steinman, David William ","","GRE","3,940","3.48%","","","","","","","","","","",NA,"2012"
"460",461,"CA","California","33","H2CA33121","","Zein E. ","Obagi","Obagi, Zein E. ","","D","1,988","1.76%","","","","","","","","","","",NA,"2012"
"461",462,"CA","California","33","H2CA33170","","Tim ","Pape","Pape, Tim ","","D","847","0.75%","","","","","","","","","","",NA,"2012"
"464",465,"CA","California","34","H2CA30143","(I)","Xavier ","Becerra","Becerra, Xavier ","","D","27,939","77.31%","","","120,367","85.62%","","","","","W","",NA,"2012"
"465",466,"CA","California","34","H2CA34061","","Stephen C.","Smith","Smith, Stephen C.","","R","5,793","16.03%","","","20,223","14.38%","","","","","","",NA,"2012"
"466",467,"CA","California","34","H2CA34053","","Howard ","Johnson","Johnson, Howard ","","PAF","2,407","6.66%","","","","","","","","","","",NA,"2012"
"469",470,"CA","California","35","H2CA35118","","Gloria Negrete","McLeod","McLeod, Gloria Negrete","","D","12,425","36.35%","","","79,698","55.86%","","","","","W","",NA,"2012"
"470",471,"CA","California","35","H6CA42099","(I)","Joe","Baca","Baca, Joe","","D","15,388","45.01%","","","62,982","44.14%","","","","","","",NA,"2012"
"471",472,"CA","California","35","H2CA35126","","Anthony W.","Vieyra","Vieyra, Anthony W.","","GRE","6,372","18.64%","","","","","","","","","","",NA,"2012"
