"","Year","Candidate","C10","M01","M10","M20","M30","M40","M50","S10","S20","S50","R10","cluster","X_first_score","X_second_score"
"185",2008,"H0NY02085",0,0,0,0,0.0361794500723589,0.963820549927641,0,0,0,0,0,4,0.275413695005283,0.0858824503576716
"186",2008,"H0NY18065",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"187",2008,"H0RI02139",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"188",2008,"H0VA08040",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"189",2008,"H0WA02080",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"190",2008,"H2AZ02055",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"191",2008,"H2AZ07070",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"192",2008,"H2CA01045",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"193",2008,"H2CA18056",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"194",2008,"H2CA26026",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"195",2008,"H2CA27107",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"196",2008,"H2CA30143",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"197",2008,"H2CA32099",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"198",2008,"H2CA33048",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"199",2008,"H2CA39078",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"200",2008,"H2FL03056",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"201",2008,"H2FL17056",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
